125, PANGKAL PINANG ,39325,5,45375,3,52938
126, PANGKALAN BUN ,49335,6,56925,4,
127, PARE-PARE ,74360,6,85800,4,
128, PARIGI ,85085,6,98175,4,
129, PASAR MAYESTIK ,8800,3,9900,2,17710
130, PASURUAN ,21945,6,25410,3,
131, PATI ,21945,6,25410,4,
132, PAYAKUMBUH ,47190,6,54450,4,
133, PECENONGAN ,8800,3,9900,2,17710
134, PEKALONGAN ,21945,6,25410,3,
135, PEKANBARU ,43901,4,50655,2,59098
136, PEMANGKAT ,60775,5,70125,4,
137, PEMATANG SIANTAR ,50765,5,58575,3,
138, PINRANG ,69550,,80250,,
139, POLEWALI ,77935,6,89925,5,
140, PONOROGO ,26565,6,30030,4,
141, PONTIANAK ,50336,3,58080,2,67760
142, PRABUMULIH ,54340,6,62700,4,
143, PROBOLINGGO ,21945,6,25410,4,
144, PTB BANDUNG ,11550,3,12705,2,19058
145, PURBALINGGA ,18480,6,20790,4,
146, PURWAKARTA ,12320,5,14850,4,
147, PURWOKERTO ,18480,6,20790,4,
148, PURWOREJO ,24255,6,27720,5,
149, RANTAU PRAPAT ,51480,6,59400,4,
150, RAWAMANGUN ,8800,3,9900,2,17710
151, RENGAT ,50479,6,58245,4,
152, RENON ,37180,3,42900,2,50050
153, ROA MALAKA ,8800,3,9900,2,17710
154, SALATIGA ,21945,5,25410,4,
155, SAMARINDA ,62205,5,71775,3,
156, SAMBAS ,60775,5,70125,4,
157, SAMPIT ,47905,6,55275,4,
158, SELAT PANJANG ,53339,6,61545,4,
159, SEMARANG ,18480,3,20790,2,39920
160, SENAYAN ,8800,3,9900,2,17710
161, SENGKANG ,76505,6,88275,5,
162, SERANG ,14300,3,19360,2,
163, SIBOLGA ,52195,6,60225,4,
164, SIDOARJO ,19635,6,21945,3,
165, SIGLI ,72215,6,83325,4,
166, SINGARAJA ,45760,6,52800,4,
167, SINGKAWANG ,57915,6,66825,4,
168, SINTANG ,60775,6,70125,4,
169, SITUBONDO ,26565,5,31185,4,
170, SLEMAN ,18480,5,20790,4,
171, SLAMET RIYADI SOLO ,18480,3,20790,2,40425
172, SOLOK ,47190,5,54450,3,
173, SORONG ,105105,6,121275,4,
174, SUBANG ,14300,5,16500,3,
175, SUKABUMI ,9900,5,11000,3,
176, SUKOHARJO ,21945,5,25410,4,
177, SUMBAWA BESAR ,54340,6,62700,3,
178, SUNGAI PENUH ,45760,6,52800,4,
179, SURABAYA ,19635,3,21945,2,44468
180, SURAKARTA ,18480,3,20790,2,40425
181, TAHUNA ,107965,6,124575,4,
182, TAMBOLAKA ,82225,9,94875,7,
183, TANGERANG ,8800,3,9900,2,
184, TANJUNG BALAI ASAHAN ,50765,5,58575,3,
185, TANJUNG BALAI KARIMUN ,70070,6,80850,4,
186, TANJUNG KARANG ,19635,3,21945,2,41388
187, TANJUNG PERAK SURABAYA ,19635,3,21945,2,44468
188, TANJUNG PINANG ,65065,6,75075,3,
189, TANJUNG PRIOK ,8800,3,9900,2,17710
190, TANJUNG REDEB ,89375,6,103125,4,
191, TANJUNG SELOR ,95095,7,109725,6,
192, TARAKAN ,101530,6,117150,4,
193, TARUTUNG ,,,,,
194, TASIKMALAYA ,13860,5,16170,3,
195, TEBET ,8800,3,9900,2,17710
196, TEBING TINGGI ,50765,5,58575,3,
197, TEGAL ,18480,3,20790,2,
198, TEMANGGUNG ,29250,,33750,,
199, TEMBILAHAN ,50479,6,58245,4,
200, TERNATE ,79365,6,91575,3,106838
201, TOLI-TOLI ,86515,6,99825,4,
202, TOMOHON ,97955,7,113025,6,
203, TUBAN ,21945,6,25410,4,
204, TULUNG AGUNG ,21945,6,25410,4,
205, UGM YOGYAKARTA ,18480,3,20790,2,40425
206, UI DEPOK ,8800,3,9900,2,17710
207, UNDIP SEMARANG ,17600,3,19800,2,38019
208, USU MEDAN ,47905,4,55275,2,64488
209, WAIKABUBAK ,96525,11,111375,9,
210, WAIWERANG ,130845,11,111375,9,
211, WONOGIRI ,21945,6,25410,5,
212, WONOSOBO ,24255,6,27720,5,
213, YOGYAKARTA ,18480,3,20790,2,40425
